year,stock,capture,effort
1950,Arca zebra,1000,320859403.6
1950,Callinectes sapidus,700,320859403.6
1950,Centropomus spp,200,320859403.6
1950,Centropomus undecimalis,1000,320859403.6
1950,Crassostrea virginica,10000,320859403.6
1950,Cynoscion nebulosus,500,320859403.6
1950,Lobatus gigas,100,320859403.6
1950,Lobatus gigas2,500,320859403.6
1950,Lutjanus synagris,250,320859403.6
1950,Lutjanus synagris2,100,320859403.6
1950,Menticirrhus littoralis,400,320859403.6
1950,Micropogonias furnieri,750,320859403.6
1950,Mugil cephalus,4000,320859403.6
1950,Mugil liza,1000,320859403.6
1950,Ocyurus chrysurus,200,320859403.6
1950,Ocyurus chrysurus2,100,320859403.6
1950,Ocyurus chrysurus3,100,320859403.6
1950,Opisthonema oglinum,100,320859403.6
1950,Opisthonema oglinum2,200,320859403.6
1950,Pogonias cromis,100,320859403.6
1950,Scomberomorus brasiliensis,300,320859403.6
1950,Scomberomorus cavalla,100,320859403.6
1950,Scomberomorus cavalla2,700,320859403.6
1950,Scomberomorus cavalla3,4000,320859403.6
1951,Arca zebra,1000,302913040.3
1951,Callinectes sapidus,700,302913040.3
1951,Centropomus spp,200,302913040.3
1951,Centropomus undecimalis,1000,302913040.3
1951,Crassostrea virginica,10000,302913040.3
1951,Cynoscion nebulosus,500,302913040.3
1951,Lobatus gigas,100,302913040.3
1951,Lobatus gigas2,500,302913040.3
1951,Lutjanus synagris,250,302913040.3
1951,Lutjanus synagris2,100,302913040.3
1951,Menticirrhus littoralis,400,302913040.3
1951,Micropogonias furnieri,750,302913040.3
1951,Mugil cephalus,4000,302913040.3
1951,Mugil liza,1000,302913040.3
1951,Ocyurus chrysurus,200,302913040.3
1951,Ocyurus chrysurus2,100,302913040.3
1951,Ocyurus chrysurus3,100,302913040.3
1951,Opisthonema oglinum,100,302913040.3
1951,Opisthonema oglinum2,200,302913040.3
1951,Pogonias cromis,100,302913040.3
1951,Scomberomorus brasiliensis,300,302913040.3
1951,Scomberomorus cavalla,100,302913040.3
1951,Scomberomorus cavalla2,700,302913040.3
