stock,variable,year,mean,sd,lower,upper,status
Arca zebra,b_div_bmsy,2019,0.955581106401534,0.226712934198119,0.663594500474956,1.35289616899769,Fully fished
Callinectes sapidus,b_div_bmsy,2019,1.32865407806889,0.195864065651246,0.973608056539363,1.80670895546372,Underfished
Centropomus undecimalis,b_div_bmsy,2019,1.04443392923859,0.17108569718307,0.801762090182328,1.36768289608823,Fully fished
Crassostrea virginica,b_div_bmsy,2019,1.1089648714114,0.121982293738481,0.913926928318413,1.35033373296707,Fully fished
Cynoscion nebulosus,b_div_bmsy,2019,0.654799159616478,0.210866374987505,0.467140835238572,0.92755430699659,Overfished
Lobatus gigas,b_div_bmsy,2019,0.976363580413715,0.218262403567916,0.688600094703271,1.37682499088429,Fully fished
Lobatus gigas2,b_div_bmsy,2019,0.602083567668751,0.254142800924419,0.403572334097569,0.901314066914427,Overfished
Lutjanus synagris2,b_div_bmsy,2019,0.611636005377289,0.181888729143989,0.459834513740524,0.820906153350956,Overfished
Menticirrhus littoralis,b_div_bmsy,2019,0.511361900799364,0.190524033293426,0.378486159030276,0.693330305299582,Overfished
Micropogonias furnieri,b_div_bmsy,2019,0.999208189166674,0.163575076572635,0.76269556271735,1.28304200434907,Fully fished
Mugil cephalus,b_div_bmsy,2019,0.457328246310382,0.150851640395833,0.359870674256022,0.582516118886488,Overfished
Mugil liza,b_div_bmsy,2019,1.00881525056809,0.182108120360758,0.760889238846403,1.34917753313957,Fully fished
Ocyurus chrysurus,b_div_bmsy,2019,0.52622705385278,0.144566503064184,0.421828446529886,0.668486434887686,Overfished
Ocyurus chrysurus2,b_div_bmsy,2019,1.13009227776466,0.203791023885506,0.818398782375441,1.57279974054882,Fully fished
Ocyurus chrysurus3,b_div_bmsy,2019,0.598090043879201,0.171742676177722,0.457193611509781,0.790605246877397,Overfished
Opisthonema oglinum,b_div_bmsy,2019,0.845838959170046,0.200101012626186,0.611737275964304,1.1605096640941,Fully fished
Opisthonema oglinum2,b_div_bmsy,2019,0.459137240617612,0.256224173079798,0.305789599941772,0.690134285618242,Overfished
Pogonias cromis,b_div_bmsy,2019,0.505919163484132,0.21174536052607,0.36087403102146,0.709712211991569,Overfished
Scomberomorus brasiliensis,b_div_bmsy,2019,0.940707587076054,0.182035018413204,0.705233028114689,1.25191612471967,Fully fished
Scomberomorus cavalla,b_div_bmsy,2019,0.734722339090869,0.198905280178252,0.536065181396998,1.02875232850032,Overfished
Scomberomorus cavalla2,b_div_bmsy,2019,1.50908077251535,0.152023307932218,1.17744642177278,1.90260396929942,Underfished
Scomberomorus cavalla3,b_div_bmsy,2019,0.27564576999364,0.103842010092914,0.231012647106134,0.325894931132396,Overfished
