variable,year,mean,sd,lower,upper
b_t,1950,825078.280916201,599589.739283512,282904.311385875,1840428.07628563
b_t,1951,226913.683230768,187345.758716114,62678.92733151,534981.973468163
b_t,1952,117175.626346697,98594.7062361353,31372.6714494941,277735.362319491
b_t,1953,84597.8867235902,71495.8135783953,21181.4590884398,213050.387945602
b_t,1954,64592.1304682156,54237.9319829726,16851.1311011091,157307.915338371
b_t,1955,46840.6972440677,40279.5858611519,11478.9863836793,110698.171018571
b_t,1956,56517.5371595197,47834.1648933581,14896.7256020952,135490.835067787
b_t,1957,110886.476521584,88968.4872366755,29775.2902529092,256784.095922166
b_t,1958,191019.805048991,151546.217942134,50302.2647624723,469360.735560426
b_t,1959,263969.101128478,210966.603851875,68148.9171281603,641729.128288447
b_t,1960,289323.630651121,256567.254377484,72678.4772208782,683136.484742764
b_t,1961,223285.373911916,186923.358222157,57904.8945232932,544659.53267696
b_t,1962,247119.676313836,224291.559820127,63683.8362431463,603233.927264615
b_t,1963,203561.356232231,171552.167529217,53960.3293331501,497346.950802943
b_t,1964,283240.279306503,237646.132665935,74198.1792252501,677398.479299629
b_t,1965,355468.072138164,298843.016338355,97215.8188637788,842076.77968655
b_t,1966,361096.087720459,293130.086557664,90495.3922111645,871237.308610475
b_t,1967,301345.206430113,251346.842032492,80153.0032503292,731054.293782998
b_t,1968,366274.742087445,300157.809071216,98802.1500844254,845948.697406343
b_t,1969,452153.056682396,351394.742133887,125048.032651446,1044470.42509038
b_t,1970,556043.645895564,483808.869340699,142030.302437537,1309031.2587456
b_t,1971,564103.828234896,476212.155637564,148839.310677216,1362078.6907791
b_t,1972,768382.234523088,659832.003963433,195090.460796429,1811143.75696012
b_t,1973,1090781.88486389,950815.167755723,286927.607080919,2592762.16312745
b_t,1974,1165271.38348608,978820.021506576,310357.590816444,2748406.52491713
b_t,1975,989476.951442264,824673.009251727,275764.963023297,2367731.54932392
b_t,1976,1109862.27986553,903195.621518562,299959.089850912,2650451.39275086
b_t,1977,1461374.5830096,1220520.32407359,409753.809611448,3467425.21137504
b_t,1978,2044489.65839522,1571924.03890271,567803.136936969,4682560.14533038
b_t,1979,1246661.84798307,1080175.3555179,318807.82090368,3117882.24374964
b_t,1980,979646.432216084,801935.785500622,264973.882813293,2350142.77872487
b_t,1981,1209932.40662723,1133182.81160963,299761.498140767,2914736.65320672
b_t,1982,966466.391130996,856646.612741541,244839.427668478,2454643.77627201
b_t,1983,757865.677691989,620963.423046575,204814.173880071,1889981.11570742
b_t,1984,966578.250099585,854368.636771723,253057.454133035,2310496.8023197
b_t,1985,799018.338789104,698364.780903164,196737.647495798,1921114.55265486
b_t,1986,736556.906097952,616628.632729442,186808.571138375,1843307.28123897
b_t,1987,826658.846810159,671461.59723121,221106.992808516,2027140.7964738
b_t,1988,867408.292813162,725492.067714631,230690.757966229,2026187.23535213
b_t,1989,1099778.20779616,933692.51669577,288691.755835715,2621314.55503749
b_t,1990,1102630.86444089,1006577.66347118,281399.124307671,2567865.01942159
b_t,1991,809427.962617313,654123.981589848,224068.126187271,1950377.03192734
b_t,1992,839477.254508961,735125.860561035,229150.432342066,2000927.48387447
b_t,1993,1083329.38424769,904046.345590552,289196.227366346,2547939.04896613
b_t,1994,1280022.17687768,1066985.58680119,327483.666655478,3053230.38703478
b_t,1995,1338370.85115927,1134299.2250154,348844.735166691,3193396.13177303
b_t,1996,1280876.29423251,1091658.36935877,326497.285222756,3104383.38942159
b_t,1997,1459331.15935763,1137675.04224473,409445.994307043,3542063.22098444
b_t,1998,1288748.26884506,1066162.71896835,349032.924813096,3075527.29507702
b_t,1999,1463263.5247105,1178639.24976301,397420.231535709,3510077.12515423
b_t,2000,1625865.31383822,1283169.06475945,431069.689024879,4029786.85870651
b_t,2001,1559062.71894284,1240447.88657857,433042.672613525,3617977.12066782
b_t,2002,1614436.68341562,1307230.54009172,426638.666622151,3824874.92856509
b_t,2003,1536560.58605397,1192139.84633302,419127.47356468,3767878.96221941
b_t,2004,1149515.73851071,993609.465487411,291885.027927381,2838278.19511386
b_t,2005,693380.29955365,594364.772130151,174062.63762757,1686585.45866101
b_t,2006,850728.361393794,707177.22857393,228011.349817984,2066666.56025635
b_t,2007,1539310.04029249,1193541.66360635,446244.685118457,3445916.64423427
b_t,2008,1796288.49085049,1569326.21994398,487468.160569705,4227499.02618886
b_t,2009,1792206.23363591,1441697.6318624,472540.753577406,4194063.4785515
b_t,2010,1214040.83636946,999298.113281776,305347.025602175,3033980.5520681
b_t,2011,814576.830373473,686730.501530763,205002.84356037,1979090.6887057
b_t,2012,645908.455318505,525517.414448939,167361.904136391,1544902.32283903
b_t,2013,661893.63075654,541146.177041233,173732.708858087,1541665.5836415
b_t,2014,769651.010937251,657274.835644764,198659.996013464,1839849.43765839
b_t,2015,978986.26793381,873844.843826059,246697.588883501,2347215.50236048
b_t,2016,1020999.40387472,845619.981336013,276558.532561717,2480744.28572547
b_t,2017,1026259.21576231,835301.143818169,282262.95778073,2424359.71927635
b_t,2018,937100.08466464,765465.864119751,252249.116015678,2259806.87209506
