variable,year,mean,sd,lower,upper
b_t,1950,115454.553699202,100766.887973449,31084.0444564882,277629.691806187
b_t,1951,103130.16195026,97651.0789843857,23743.770263192,269078.39515513
b_t,1952,104687.18723719,102911.142374071,23574.0533459169,265181.977556064
b_t,1953,90303.8489052253,90299.39155005,19284.0707795829,241030.719672373
b_t,1954,79548.3211217089,78798.6850773028,17771.8325907382,210958.252693751
b_t,1955,69362.4181514252,65266.4042016867,15952.6957533447,180123.894672983
b_t,1956,75581.3846405016,71640.4800967636,16944.7969337109,198603.129795714
b_t,1957,87283.9980626367,85620.7917379517,19122.1173205859,233684.238147818
b_t,1958,124286.995506612,123128.244993432,26237.7446924748,326360.96590597
b_t,1959,126200.42356097,125217.396370527,27180.7284034351,336879.309544714
b_t,1960,90428.1429088465,85851.2442624043,20080.1662424093,238028.125901115
b_t,1961,79160.2876777761,74310.2631115728,17071.2853838111,210401.319395109
b_t,1962,122578.730146277,121007.035407751,25459.5704450256,330940.956356763
b_t,1963,122511.700520349,124402.232594243,25454.627363075,317468.682177932
b_t,1964,46906.6791750883,45270.7845558832,9855.17438229512,126197.097612033
b_t,1965,25360.8566176569,23543.5364684444,5548.58952834501,66337.0292854385
b_t,1966,26300.9706572504,25356.743630203,5827.81400476626,67861.8213349609
b_t,1967,26759.3805405373,26903.7586451161,5965.49461978171,69122.4972147988
b_t,1968,28659.2493672883,29368.5937206793,6220.96774690237,74297.3470009763
b_t,1969,35797.5809123802,36376.5046647691,7790.95623287257,95722.8656318986
b_t,1970,35881.3037845018,38101.5828816974,7774.08957080866,91822.7849629943
b_t,1971,42898.0332732566,42318.3573525838,9190.39466660142,108174.311245279
b_t,1972,77673.6462437558,72794.6825738106,17580.0588790689,198724.919996892
b_t,1973,114456.958767698,111554.734454522,24666.5479992749,300314.190214573
b_t,1974,108853.103125926,100640.726999462,24210.8012230402,278589.712725533
b_t,1975,109141.432878771,103992.160002517,25122.8326699195,286490.883761742
b_t,1976,142471.56404106,133661.585295555,31585.7897979172,383101.457220831
b_t,1977,164255.340558109,158355.930488268,36256.5724851748,436460.494945569
b_t,1978,163075.2275404,157835.735535561,34857.6666151197,436017.412350512
b_t,1979,173467.836059656,169047.579402922,38481.8424978841,455303.75296424
b_t,1980,176063.093456569,164201.495422222,37469.4610808283,451861.463452093
b_t,1981,165021.531065654,152119.468215585,36876.1202898816,440894.719710081
b_t,1982,158392.18566011,147954.304339071,34344.3902637908,415716.14562465
b_t,1983,172213.531989398,163238.274211562,37851.7965886894,443689.700954623
b_t,1984,169837.602061524,157680.79684507,38078.887157261,435471.562540613
b_t,1985,149544.439928596,149934.391243408,32163.6226819831,391022.850603521
b_t,1986,141939.577471457,139546.340179991,31864.0922155442,357603.388033499
b_t,1987,135514.915990025,139869.734688746,30042.9235640251,361320.08029221
b_t,1988,129431.274508265,129230.682967609,29002.2140218075,334447.962614725
b_t,1989,132781.492153488,129106.665568978,29122.6717832349,351147.321951859
b_t,1990,122879.497001446,118547.663818598,27331.2554737903,320271.815279911
b_t,1991,86729.7763198629,82106.5430421198,19164.4582142776,231299.005409508
b_t,1992,99419.3095715545,94521.118530212,22556.0317889658,268800.01615787
b_t,1993,99027.6277618043,92151.9246847123,21731.7199283192,261489.931193767
b_t,1994,105202.897516515,102564.41009484,23957.4285604037,272155.800375954
b_t,1995,154306.566399989,151801.056738886,36909.3084217425,398992.493163576
b_t,1996,177273.755662118,172460.173047056,40581.8851009157,450221.038168159
b_t,1997,222740.169417065,213899.333532672,51084.364925718,582802.540275084
b_t,1998,287134.209710027,262507.994313123,67116.7936274019,723502.107547444
b_t,1999,304441.71911806,307695.595845403,68555.0336792984,749842.06570869
b_t,2000,306498.779901139,285572.345210513,69526.6036000451,807708.115101528
b_t,2001,267317.401501508,255515.446554176,59159.1192064203,686551.756258624
