variable,year,mean,sd,lower,upper
b_t,1950,118929.03425093,144262.374321423,26099.2472842614,313506.119936954
b_t,1951,51590.5614151042,66186.8517405524,10087.4585857593,139018.242596267
b_t,1952,39423.5292997693,48670.3406250209,7477.40133828659,108761.7415664
b_t,1953,31684.3600611747,42309.1915129372,5864.59094533715,91706.7403068764
b_t,1954,27259.2002859049,37149.5536784913,4970.60429045012,74538.1960252271
b_t,1955,23486.360477183,36776.112286929,4158.69848318553,61616.1184185215
b_t,1956,24190.2409285766,39493.2958730728,4353.51535209571,63521.1800843776
b_t,1957,24820.4895127521,37568.9347013191,4419.58346907018,67440.3565503579
b_t,1958,25825.7883481532,33981.7638713269,4665.05057523078,71555.4886100692
b_t,1959,25881.5073339224,30873.3054857957,4527.50703412256,72915.0805088411
b_t,1960,24749.2625173282,33033.3661183993,4371.21062910615,68492.31649793
b_t,1961,21975.1170261286,27396.8645984922,4048.95259292084,60988.8245359437
b_t,1962,27476.772622345,33851.7500922572,5006.04096542317,78600.8076687602
b_t,1963,28453.0060880493,31780.0860480248,5305.28625015798,81349.5654495989
b_t,1964,27515.9749257732,32138.9579006583,5190.66778398694,79535.0622178524
b_t,1965,25096.2121460677,37522.000866281,4563.67012369694,68501.9780243028
b_t,1966,22615.3606811499,29014.6325687976,4213.59030788621,62003.9557494335
b_t,1967,21775.7663332362,25993.6794634171,4103.64851368179,59051.9659853124
b_t,1968,21344.9415969217,25473.5791295839,4065.79392406198,59201.7007760555
b_t,1969,23225.1196758591,28608.5585990809,4231.90159120085,64931.2389251198
b_t,1970,24921.2437662633,32379.7881839109,4671.89669821833,70228.5296828712
b_t,1971,26268.1471269577,34715.8492724947,4690.13412316475,74548.5458367226
b_t,1972,28758.7195459439,37526.955779654,5201.10399342943,78944.3533199202
b_t,1973,33747.9449455173,51515.558199314,5884.78127275987,91595.9620836881
b_t,1974,38887.1316349639,49715.9698483503,7262.17225090491,109914.663469646
b_t,1975,45441.315108357,65904.5852899843,8206.0923816949,124645.39433033
b_t,1976,41208.4888704928,59127.8056707705,7290.22661222724,113101.709096604
b_t,1977,42752.2442324542,54083.1468433258,8080.02659519143,115743.280989982
b_t,1978,62843.2966678975,79145.9398456396,11521.6598238021,177056.260561043
b_t,1979,89392.2240170112,115014.790204214,16933.1352788198,246094.84591372
b_t,1980,134341.948487953,164342.524933711,25166.7386681845,367357.980500775
b_t,1981,185835.230729015,255033.833442642,33761.7153129992,510922.453159523
b_t,1982,189492.474558366,264367.103075642,35547.2553208029,552362.303095935
b_t,1983,183864.265565303,277855.619885349,33488.8061520184,497205.685054313
b_t,1984,197578.374011758,329487.55574511,36903.6624770765,546213.454326118
b_t,1985,199509.673218617,320543.446058659,37128.3417794875,543188.362762081
b_t,1986,168905.404622859,217091.041202698,30581.8795868222,456588.217103747
b_t,1987,113940.22987479,155403.221640306,21376.9739117785,315918.723858792
b_t,1988,170280.794170806,234826.9784526,32392.5137172804,460917.095657168
b_t,1989,304199.539953568,390996.839690443,59583.7114765617,833929.852840207
b_t,1990,302688.223225113,357948.990499496,60063.0151085768,824290.927031113
b_t,1991,281190.644204553,339994.783402594,53347.344000587,774247.223672988
b_t,1992,229399.907880842,292196.336872858,43533.1402199182,627357.368417662
b_t,1993,230704.809722474,295028.728258642,43310.3479026513,598280.436474144
b_t,1994,294924.540100125,413451.591972606,56722.0300912467,802554.792886555
