variable,year,mean,sd,lower,upper
b_t,1950,163176.293889101,139278.508993197,49499.4845352476,378642.720638434
b_t,1951,109966.210439074,130962.45116678,17505.5994270647,330290.893502775
b_t,1952,98054.9406388818,115631.025567213,14993.8860207905,283508.506501721
b_t,1953,78547.8317782314,84591.0922282196,13857.7840521822,215620.735695222
b_t,1954,69045.2726315497,83948.882883553,11882.6331148168,194690.59267034
b_t,1955,59593.9320092892,96878.6069028699,9716.74768029285,181812.831786649
b_t,1956,63602.0380768824,78173.4759057587,9945.21701171417,190919.634219736
b_t,1957,67578.0662048749,88243.7429076242,9732.62674184932,203336.326484779
b_t,1958,71019.7874248602,84122.6992220164,10651.0078851709,207813.202642058
b_t,1959,69262.4272309868,85827.3384203177,9892.90172147618,209506.162131008
b_t,1960,75616.9396799595,90387.3393029305,12315.0630555464,217358.204609614
b_t,1961,82975.954680757,110002.688039295,12581.7456542164,245117.49569979
b_t,1962,101371.048143804,116307.637980948,15962.1471435528,297996.307194561
b_t,1963,116352.642729626,126202.120083274,19578.2763579718,318299.202691392
b_t,1964,148189.459089416,178399.158101823,23365.5058173385,397089.679973771
b_t,1965,160641.078989528,178646.612545004,27465.5003038097,437182.717540533
b_t,1966,152210.47099056,161188.43453529,23853.741822991,404542.197212908
b_t,1967,129093.575896257,142913.247818311,18100.2305118244,379298.663425879
b_t,1968,121862.618770246,147417.014389079,21339.6060807178,333470.271392786
b_t,1969,104599.384877645,136369.456857186,17600.4533709878,307015.945937972
b_t,1970,99553.2022622923,139964.461515321,16719.5192227642,275114.153626678
b_t,1971,97163.2972807843,123131.26978342,11818.7758768816,286015.581607375
b_t,1972,98093.892957623,136366.450821311,13502.6266722647,296640.372748589
b_t,1973,91885.0460621371,124969.308256473,12961.5922943712,263818.604404872
b_t,1974,55709.9963549599,70119.0282949142,9476.59807479057,158159.681513341
b_t,1975,43612.8912915471,64788.143913698,6154.3746714134,131014.530608026
b_t,1976,30811.8365098692,36789.2234353566,4447.39000377502,85880.3098523729
b_t,1977,31620.8910916162,40531.225698306,4337.66446494567,91118.7121468847
b_t,1978,50818.0906484349,56476.1903815954,7733.46344053871,148985.652459123
b_t,1979,77651.5717493619,109502.555388165,11488.6381198392,241170.576335899
b_t,1980,33747.5575901915,40709.0142210525,4784.7405304431,101730.150867513
b_t,1981,21169.7285506368,29968.6936965209,3153.60442237131,61653.93926864
b_t,1982,17773.2606496019,23384.1800382719,2815.11131117303,48042.0600500291
b_t,1983,25378.829606333,29933.6604634297,4289.29535670251,72459.7547999325
b_t,1984,79020.1490573449,110868.366775963,11932.4032748586,227520.386373097
b_t,1985,101566.384992415,120483.285821839,15031.1392290969,295329.214332439
b_t,1986,108028.127636229,138712.621224251,15160.3021295469,318269.081545144
b_t,1987,45200.825487869,60017.4659261987,7230.94547799306,123469.168022109
b_t,1988,31805.3013509768,37574.001346078,4652.16281097367,101086.848593764
b_t,1989,55132.3043907187,63127.2985151537,8823.4880728094,162497.352115729
b_t,1990,89887.6242120509,102711.261286458,14241.0196636635,260102.298864639
b_t,1991,150181.078993622,148956.882123457,28681.6265298819,423467.56125556
b_t,1992,168893.257937049,210302.202074516,27745.9963682066,452112.815761258
b_t,1993,143647.010564184,167639.811238153,27168.537416914,413230.881959243
b_t,1994,148359.398102853,162749.938968666,29500.8547228512,378777.280466559
b_t,1995,168588.449862368,195946.091526278,28803.3335218043,439510.981599203
b_t,1996,165641.892317321,201900.660362274,29772.1693802799,440605.962900505
b_t,1997,184021.277135319,201297.31761848,32881.435803666,516962.723205203
b_t,1998,159222.169365318,162843.692391762,31095.9877454684,448579.098594361
b_t,1999,174326.007216046,186721.090052423,31771.5715505591,492922.286173424
b_t,2000,173127.676659164,177896.675496984,32670.6557205382,489024.887025485
b_t,2001,170992.457800417,204954.580703667,33644.2858779319,463888.446209922
b_t,2002,179385.881053173,209929.174568007,30972.3979058402,501690.076436005
b_t,2003,138016.038958982,166577.453190369,17232.0059716974,436996.962993533
b_t,2004,22975.8530799314,29574.2152004704,3597.65982588257,66683.9551243942
b_t,2005,3597.94947969802,4151.39956174468,596.071927899914,9598.17200642377
b_t,2006,15615.2687561948,18263.8411253891,2945.33742315181,41514.9130082209
b_t,2007,13157.302269509,20975.502616244,2414.26734175371,35046.2450831503
b_t,2008,3117.19577203266,3931.64572922753,487.130884523269,8846.30204554996
b_t,2009,21281.8088985902,26864.5472414096,4205.21731914633,60007.4352903213
b_t,2010,42765.1910536239,51472.6537459884,6990.75456137087,129857.669369311
b_t,2011,55561.484998604,68797.8330832664,8835.6940685043,168264.817582111
b_t,2012,49855.6084950914,81524.3279065332,6290.05938572744,147737.938052069
