variable,year,mean,sd,lower,upper
b_t,1950,105092.81934257,95747.105227115,32394.5003311837,268217.24053321
b_t,1951,90852.45138386,84294.979389565,27239.0987991592,231205.098686703
b_t,1952,92353.958796386,90449.9056249936,26866.5552883141,240023.687862705
b_t,1953,78345.8349204881,74490.0856341059,22479.9302805044,203256.499387676
b_t,1954,69591.5317829808,66354.1684721291,19103.6709098933,180728.306549352
b_t,1955,60367.935950018,57082.4170744053,17396.2968462607,160480.261277545
b_t,1956,62690.9690799396,58508.873664456,17585.6393907478,167087.701655062
b_t,1957,64454.0345732025,61337.69142734,17866.2516851531,170847.726901488
b_t,1958,67681.6667269448,65256.4599401182,19234.4331527608,171182.635664608
b_t,1959,68455.2124861048,67880.0468874634,19537.3339409308,174968.039646643
b_t,1960,65615.4461412433,63144.618613828,18556.4359397991,169423.971612469
b_t,1961,59752.1440836648,56973.8728022009,17392.9134346087,152668.266353527
b_t,1962,74858.7375428242,70038.1384475184,20860.9409684741,199079.65966697
b_t,1963,89682.0198380773,86920.4177617172,25725.998176107,232620.407963986
b_t,1964,94580.7915953755,91169.9907560195,27034.3218216918,238316.613544906
b_t,1965,85619.435921421,79144.683891211,24799.6335374274,224516.050907568
b_t,1966,79986.1181659865,76868.7239480545,22977.230984816,211483.155039778
b_t,1967,77734.2365221569,73908.0419414225,22051.6354025809,199144.117360208
b_t,1968,77831.107394714,74098.4142750436,21383.7263990238,199816.666488106
b_t,1969,87173.8760345252,83467.5527156034,25053.2384359833,229472.084485037
b_t,1970,102473.005868897,97299.0034049324,29531.3580835478,268114.790237612
b_t,1971,117376.068917256,114332.251599915,33593.7399866766,303573.50377378
b_t,1972,141761.360307444,138090.554779821,40573.2099460566,368463.286203788
b_t,1973,173600.62973296,165474.161324668,50010.5897765729,453104.139698951
b_t,1974,175208.167130455,173255.114708652,50467.2594703358,457491.208162332
b_t,1975,172002.032601497,162622.318803738,49843.9572541318,437982.714282605
b_t,1976,174539.321283963,169611.839336938,49642.6248570545,447838.861881166
b_t,1977,188976.219066676,176969.444007989,54138.750628335,493280.610105268
b_t,1978,192550.955886247,183127.839249349,55868.6002068894,499194.857035809
b_t,1979,146466.29242213,140185.628026009,41649.9995553537,375621.092738132
b_t,1980,196265.744129703,178924.810716032,57814.6430089916,502383.426281132
b_t,1981,223102.000592545,214793.747302356,66454.3733579372,562416.22655599
b_t,1982,197262.513332283,184711.293383119,55289.2436195558,512761.572712491
b_t,1983,165990.176818119,158420.117894188,48373.8631483701,434607.415250452
b_t,1984,161473.998494067,161842.082143129,45156.1683831792,406834.829871472
b_t,1985,153555.263806727,145374.489977906,45349.2833164781,387394.686715794
b_t,1986,161694.864036827,155586.033518251,46351.8351418614,416170.439412981
b_t,1987,151321.489377882,148178.720236308,43960.0491710328,394505.856007358
b_t,1988,133418.481638061,125430.76045261,38919.2599800434,345595.392235307
b_t,1989,156341.698516979,144470.904404129,45545.4168006854,402632.680165441
b_t,1990,172614.628685439,165277.99543818,50128.5694895716,437595.847338413
b_t,1991,203310.578647777,194715.147441732,59435.2646095763,516187.413876141
b_t,1992,186490.989221521,177556.649106184,54178.9218816528,472218.013560363
b_t,1993,200116.846856874,196913.321697585,59273.0672035672,505216.047843086
b_t,1994,206722.581820605,205328.367826893,60226.8416825927,548429.32938593
b_t,1995,210118.769416364,196841.377049365,60694.7005481837,534595.22529333
b_t,1996,179314.814434969,169688.461518025,51957.1682662627,476688.312860915
b_t,1997,152723.322279311,144276.836337506,42912.8458581802,388562.863346603
b_t,1998,141602.641599867,133253.175860879,40700.8417936178,363141.339138401
b_t,1999,104526.918032892,103225.113057526,30050.7094872369,269031.500818632
b_t,2000,133268.971370982,125262.87159408,38495.1877671323,339548.500987123
b_t,2001,174530.793848384,170275.44097688,49140.3288770194,449348.824987907
b_t,2002,135784.158429548,135654.49126817,38908.9371534427,347989.283770527
b_t,2003,138771.144137526,132061.135508294,40660.7117552771,341875.885449555
b_t,2004,143565.351239063,144172.484005147,41248.2930049982,363495.784845237
b_t,2005,120190.565303213,115276.401364231,34222.0439428728,303472.28781249
b_t,2006,88019.6115094527,80228.838639891,25608.5496655025,224272.482062591
b_t,2007,78273.6613432125,76009.2156938513,22972.5492208332,198799.080529445
b_t,2008,79218.5336770308,75442.6665114574,23170.1314404655,203827.343516125
b_t,2009,73791.7714997809,71881.7570639579,21493.8755151576,190044.732154668
b_t,2010,54399.0315189115,50631.5753386313,15953.338963074,142219.453909518
b_t,2011,51282.0501019155,49669.2241186631,14696.4443111549,131873.156123835
b_t,2012,54339.3609032689,52472.588250239,15782.2793202713,144817.298351908
b_t,2013,49660.3893864044,48411.1707793629,14391.7389555346,129758.134957154
b_t,2014,45441.7930675498,43546.9968827239,13179.0191291037,117784.515396204
b_t,2015,46965.7616969645,44404.8879267589,13816.0427814996,123062.0426334
b_t,2016,71033.6783283567,67348.7248063051,21203.0272741898,180157.772638364
b_t,2017,82105.5048930456,79118.8610945925,23959.822873287,206119.828781169
b_t,2018,84471.9423284464,81131.1360450215,24485.4592264597,217162.47303485
b_t,2019,79284.5186495937,73299.1549505598,24281.5676693014,206464.039862702
bmsy,1950,77709.7217119261,69835.1991751234,25503.8030443037,193536.996414171
ck,1950,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1951,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1952,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1953,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1954,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1955,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1956,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1957,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1958,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1959,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1960,0.0072833149983938,0.00403138017194926,0.00193761656087676,0.0147036899093377
ck,1961,0.00776886933162005,0.00430013885007921,0.00206679099826854,0.0156839359032935
ck,1962,0.00679776066516754,0.00376262149381931,0.00180844212348498,0.0137234439153818
ck,1963,0.00873997799807256,0.00483765620633911,0.00232513987305211,0.0176444278912052
ck,1964,0.00971108666452506,0.00537517356259902,0.00258348874783568,0.0196049198791169
