variable,year,mean,sd,lower,upper
b_t,1950,41347.8094065232,25905.2383121673,19284.9222177377,87630.9869445627
b_t,1951,45576.9105343968,30723.7848468207,18340.9587612396,99534.5764326155
b_t,1952,49334.7408361004,35352.4058234044,18783.8110671917,111475.323238435
b_t,1953,40340.3212407416,28479.0596995712,16093.1330929286,93867.9701834701
b_t,1954,32450.4912072831,24006.1362083006,9527.43546762548,72340.2720259751
b_t,1955,26483.5884884351,19583.4076228621,7189.01517588835,59169.1214742199
b_t,1956,41819.7968500748,29533.6195196717,13393.8405789947,93179.7465717943
b_t,1957,57298.3008033042,41628.7929402606,20518.3540961396,130204.990329059
b_t,1958,52685.6644444556,39256.1338385406,16197.3706929858,119598.739150094
b_t,1959,40727.502424366,29689.2300387415,13790.0334593343,92059.2102470138
b_t,1960,37178.8253145383,27061.148907311,13570.0588502536,83865.2271051852
b_t,1961,34841.8031095923,24833.4557983306,14473.1164844679,78359.3706869017
b_t,1962,48059.7964464302,37874.9433137432,12791.6790203929,109860.201675394
b_t,1963,41936.7232447485,33824.477588654,11121.6619995896,95067.6160314508
b_t,1964,24308.7123864574,17861.108554139,8180.01503290135,55350.4347297534
b_t,1965,20085.2405556445,14793.3428094095,6620.01890522983,45477.9213628079
b_t,1966,18137.6910299859,12979.1340317265,6672.5870673761,40805.630972709
b_t,1967,17856.4812019918,13060.2467141877,4673.52869857538,40669.3817290441
b_t,1968,19432.2152228295,14024.3642973634,5347.14845255113,43378.5741184004
b_t,1969,22372.1350139865,16210.2051233159,6827.95082047793,50472.5216186562
b_t,1970,26339.2873921221,19514.7746479573,6213.05684078284,60204.0325418469
b_t,1971,30157.8617864627,22719.6306328575,7243.01732030552,72291.5039535182
b_t,1972,34034.3628560558,25442.2669419144,8882.21609141028,79794.363296554
b_t,1973,34258.0208307501,25234.3048122717,9818.53213825333,82200.5150863529
b_t,1974,28054.1630366932,20911.2128433526,6768.64942012572,64113.6321945579
b_t,1975,33786.8979883771,24710.351953352,9032.7507872523,76715.9364817498
