variable,year,mean,sd,lower,upper
b_t,1950,2144.37843716352,559.807282501635,1492.55554945263,3105.99402125773
b_t,1951,2459.95259777383,779.72919497779,1524.13544975873,3730.29549732214
b_t,1952,2720.62698591847,823.395294368291,1791.02317120913,4139.4648006882
b_t,1953,2438.40619594459,745.647264864345,1648.49360767675,3736.10158543829
b_t,1954,2195.2369291548,687.685227005049,1438.4551357821,3322.43209805151
b_t,1955,1917.95257724181,613.048429380419,1289.83026273833,2962.15359599955
b_t,1956,1999.64038111488,622.634078228452,1380.97849213702,3041.99814810811
b_t,1957,2049.75199983502,628.840560699694,1414.58063559328,3143.59780134341
b_t,1958,2144.12980273564,707.309985547245,1319.82363320628,3359.80086268148
b_t,1959,2166.52360921589,727.387198665203,1414.18399895207,3426.17704652066
b_t,1960,2084.7200323658,670.817379252628,1369.00041064728,3234.20385686826
b_t,1961,1838.48369378859,579.005000344765,1056.98303367398,2803.87378660322
b_t,1962,2280.93517495717,726.099404206805,1289.71119559789,3511.7408154495
b_t,1963,2403.97051042417,737.720473073716,1580.1306446484,3739.91542900923
b_t,1964,2390.13506376844,722.475168619257,1591.51418764132,3691.51729163423
b_t,1965,2109.75036823368,655.183435711866,1407.43894124222,3145.80276804252
b_t,1966,1982.1997097185,580.658137964392,1295.83244534792,2982.87044284153
b_t,1967,1885.45482621348,573.58040961016,1262.71559848855,2842.13005254397
b_t,1968,1824.13695888907,577.001234149441,1130.44880185311,2831.3076001139
b_t,1969,1960.56744862203,603.706383687441,1317.18664247354,3034.37431850996
b_t,1970,2053.01361318235,618.499298867382,1410.25164584589,3167.07017177918
b_t,1971,2111.7966566337,668.35039963584,1328.64807591182,3302.39953713559
b_t,1972,2228.76071828276,739.256276656777,1376.89557038624,3504.43257521304
b_t,1973,2571.54687935779,778.959277539328,1672.10125632302,3946.2001583042
b_t,1974,2685.93428403488,787.866911352738,1768.8597722967,4122.40734701513
b_t,1975,2325.86052622336,695.341115312416,1519.96958162032,3611.43327793796
b_t,1976,1970.86903190898,617.127976302669,1202.77747681146,3020.83593066261
b_t,1977,1963.40896666797,610.299614716999,1247.81695090263,3041.4470877231
b_t,1978,1969.97052381212,558.584365576047,1324.93381354311,2928.97236945078
b_t,1979,2363.98812381388,704.118365651736,1583.71440583479,3563.59673256147
b_t,1980,2511.16350126673,755.322524703989,1614.20773289066,3817.46107883321
b_t,1981,2223.81640618834,656.237586778684,1526.69266920012,3382.28279854425
b_t,1982,1695.60018650882,549.5702866005,1157.84327511299,2680.75248679705
b_t,1983,1632.66417460087,478.552845723681,1137.90568599374,2452.54935939192
b_t,1984,1409.08814833774,430.647841950831,930.0805252764,2142.08880362343
b_t,1985,1050.08741909085,330.870337789007,695.5391950031,1648.05367361053
b_t,1986,1114.54489720247,318.377522976028,740.046057185649,1642.61201513896
b_t,1987,967.374865123161,295.365801101782,659.902583079271,1464.25322226171
b_t,1988,896.093660528367,266.178242450041,617.645379703202,1373.23806160895
b_t,1989,945.192121724536,278.382227580329,681.748573538737,1431.19485547887
b_t,1990,897.742006420645,265.127117508764,576.580665984021,1344.06375019981
b_t,1991,959.383665648694,270.692645877013,692.252376457455,1427.6027423034
b_t,1992,1238.15499678153,334.701225901814,872.757720951245,1843.62342705587
b_t,1993,1430.68253243986,414.274690510097,1011.56607540512,2161.49150934965
b_t,1994,2207.95237413548,578.532950206451,1593.76056887336,3211.87399358478
b_t,1995,1636.02208025951,494.081943290269,1085.34981253802,2514.30039416948
b_t,1996,2408.88636895787,681.522451954173,1720.18307025308,3677.07038199225
b_t,1997,1870.32002771263,600.688220059063,1234.88327201752,2877.51942491341
b_t,1998,1114.85426602215,355.373415888938,760.053743341795,1741.40633040503
b_t,1999,1163.75246522884,340.472087579768,817.663429755428,1794.11707448865
b_t,2000,1204.58241892065,359.521065047663,854.086078490662,1827.84236033365
b_t,2001,1181.88032328877,362.328282610879,801.817627416992,1800.75108394063
b_t,2002,776.146409396129,239.574463441517,528.077631555726,1197.07831531954
b_t,2003,685.552797001852,206.405175164645,468.978406337194,1048.11357871028
b_t,2004,586.882589330274,175.854127893507,396.041787202233,908.1457668121
b_t,2005,495.924428125635,156.351786134376,337.673315189287,756.926530230128
b_t,2006,672.808289152976,203.075140990649,458.855155974261,1016.99059960588
b_t,2007,639.374445911408,190.549490994674,421.523965389915,980.16931743973
b_t,2008,701.429522804566,199.6568150289,455.96140719079,1063.65870102579
b_t,2009,680.31852554116,199.420498061574,454.25883254276,1029.75705897582
b_t,2010,653.735323602118,184.875631282263,445.170477783503,979.094884872207
b_t,2011,638.156939622333,171.547297813269,448.979031805648,949.676161083788
b_t,2012,634.432114262585,193.60652786276,438.003033797714,964.433043055258
b_t,2013,680.280414524458,205.372813689958,470.079070751237,1031.88289063915
b_t,2014,688.781430191889,193.640058590364,478.811355615655,1013.34326196281
b_t,2015,658.766623014783,186.420761096253,443.574740745784,988.879208737709
b_t,2016,664.484906377008,205.305846108343,399.217531987017,1009.96725637483
b_t,2017,725.270744523773,206.197319697938,495.167443649596,1080.61354117031
b_t,2018,764.492202382007,210.886903089529,520.907500372996,1146.26511166429
b_t,2019,887.898193336552,238.621018215144,613.118536513926,1319.07235091716
bmsy,1950,1341.45512110784,327.359748146658,973.967087908198,1931.87344347865
ck,1950,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1951,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1952,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1953,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1954,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1955,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1956,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1957,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1958,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1959,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1960,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1961,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1962,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1963,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1964,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1965,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1966,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1967,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1968,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1969,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1970,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1971,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1972,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1973,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1974,0.111525021654451,0.023023155640301,0.0737626024423172,0.146308845753142
ck,1975,0.096263702901737,0.0198726185526809,0.0636687726344211,0.12628763528166
ck,1976,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1977,0.0782631730908431,0.0161566004493341,0.0517632297840822,0.102672874212731
ck,1978,0.0712194875126672,0.014702506408894,0.0471045391035148,0.0934323155335856
ck,1979,0.111525021654451,0.023023155640301,0.0737626024423172,0.146308845753142
ck,1980,0.125612392810803,0.0259313437211812,0.083079983803452,0.164789963111434
ck,1981,0.125221076945349,0.0258505607189345,0.0828211676545315,0.16427659874037
ck,1982,0.0790458048217515,0.0163181664538274,0.052280862081923,0.103699602954859
ck,1983,0.108003178865363,0.022296108620081,0.0714332571020335,0.141688566413569
ck,1984,0.0993942298253707,0.0205188825706543,0.0657393018257844,0.130394550250169
ck,1985,0.0606539591454034,0.0125213653482339,0.0401165030826637,0.0795714775148669
ck,1986,0.0821763317453852,0.0169644304718008,0.0543513912732863,0.107806517923368
ck,1987,0.0747413303017551,0.015429553429114,0.0494338844437985,0.0980525948731585
ck,1988,0.0759152778981178,0.015671902435854,0.0502103328905597,0.0995926879863495
ck,1989,0.0770892254944804,0.0159142514425941,0.050986781337321,0.10113278109954
ck,1990,0.0704368557817588,0.0145409404044007,0.046586906805674,0.0924055867914583
ck,1991,0.0716108033781214,0.0147832894111407,0.0473633552524352,0.0939456799046493
ck,1992,0.104481336076276,0.021569061599861,0.0691039117617498,0.137068287073996
ck,1993,0.106829231269001,0.022053759613341,0.0706568086552722,0.140148473300378
ck,1994,0.262572945719779,0.0542053945075158,0.173665635925596,0.344467492983714
ck,1995,0.0970463346326454,0.0200341845571742,0.064186404932262,0.127314364023787
ck,1996,0.310313481305193,0.0640609207816096,0.205241206093886,0.40709794625348
ck,1997,0.20700609282528,0.0427342081884886,0.136913742778897,0.271569752292675
ck,1998,0.0743500144363009,0.0153487704268674,0.0491750682948781,0.0975392305020949
ck,1999,0.0915679125162864,0.0189032225257209,0.0605629788473762,0.120127262828896
ck,2000,0.0974376504980996,0.0201149675594209,0.0644452210811824,0.127827728394851
ck,2001,0.139308448101701,0.0287587487998146,0.0921385490156663,0.182757716098662
ck,2002,0.0524363259708649,0.0108249223010538,0.0346813639553351,0.06879082572253
ck,2003,0.0590886956835865,0.0121982333392472,0.0390812384869821,0.0775180200306122
ck,2004,0.0493057990472311,0.0101786582830805,0.0326108347639718,0.0646839107540208
ck,2005,0.0277834264472493,0.00573559315951359,0.0183759465733492,0.0364488703455197
ck,2006,0.070828171647213,0.0146217234066473,0.0468457229545944,0.092918951162522
ck,2007,0.0594800115490407,0.0122790163414939,0.0393400546359025,0.0780313844016759
ck,2008,0.0692629081853961,0.0142985913976606,0.0458104583589128,0.0908654936782673
ck,2009,0.0626105384726745,0.0129252803594673,0.0414105838272658,0.0821382993701851
ck,2010,0.067306328858125,0.0138946763864273,0.0445163776143107,0.088298671822949
ck,2011,0.0590886956835865,0.0121982333392472,0.0390812384869821,0.0775180200306122
ck,2012,0.0575234322217697,0.0118751013302605,0.0380459738913004,0.0754645625463576
ck,2013,0.0680889605890335,0.0140562423909206,0.0450340099121515,0.0893254005650763
ck,2014,0.0657410653963082,0.0135715443774406,0.0434811130186291,0.0862452143386944
ck,2015,0.0649584336653998,0.0134099783729473,0.0429634807207882,0.0852184855965671
ck,2016,0.0649584336653998,0.0134099783729473,0.0429634807207882,0.0852184855965671
ck,2017,0.0696542240508503,0.0143793743999073,0.0460692745078332,0.091378858049331
ck,2018,0.067306328858125,0.0138946763864273,0.0445163776143107,0.088298671822949
ck,2019,0.0665236971272166,0.013733110381934,0.0439987453164699,0.0872719430808217
crashed,1950,0,0,0,0
delta,1950,100,0,100,100
dep_t,1950,0.79898061884166,0.063966844929113,0.703944499110134,0.910063895556897
dep_t,1951,0.911417097716056,0.143422170346096,0.707924963763315,1.14186064273248
dep_t,1952,1.01214232483826,0.151454709470672,0.797712178679364,1.28026833969047
dep_t,1953,0.907152904207621,0.131336041774784,0.706216830541153,1.13087476272339
dep_t,1954,0.818460052419161,0.131843110719088,0.62323544422271,1.02257135286025
dep_t,1955,0.714384269496245,0.118865848571941,0.506894321073362,0.88690222701044
dep_t,1956,0.74457874596061,0.114050784730448,0.568484325682715,0.946453749198034
dep_t,1957,0.762769281513039,0.116822655812712,0.570123537788583,0.958931580691195
dep_t,1958,0.793771749331967,0.131874319640992,0.62184654876672,1.03480008292507
dep_t,1959,0.80310783774074,0.141317669631717,0.623004918142788,1.04180174393422
dep_t,1960,0.773253617760965,0.12301459018282,0.615827057501348,0.9844939078607
dep_t,1961,0.683490746111691,0.120418066886501,0.469045777382189,0.873004511271828
dep_t,1962,0.848437528164032,0.152192879555008,0.568964733682979,1.08423423365202
dep_t,1963,0.894173648336165,0.139989754800183,0.710137004857211,1.14032210800081
dep_t,1964,0.88992767399894,0.134863009089091,0.700604944183653,1.12053005922191
dep_t,1965,0.785383160333357,0.130446040023832,0.612815363392463,1.02667924378073
dep_t,1966,0.738997759255158,0.109093502920721,0.576954662726298,0.909148758346349
dep_t,1967,0.701651330495975,0.107700449323657,0.552866323050495,0.895227732187418
dep_t,1968,0.677881749202419,0.11011348912509,0.515944627586702,0.88380430037058
dep_t,1969,0.728774487008367,0.106065298549989,0.575222446199789,0.908577719751532
dep_t,1970,0.766306242498246,0.126037790538966,0.600903852911858,0.979228743322964
dep_t,1971,0.78552252738313,0.133146743651192,0.590985631908865,1.0062190480581
dep_t,1972,0.825413747844102,0.147446609851233,0.615041492577,1.08185471755703
