variable,year,mean,sd,lower,upper
b_t,1950,40450.4275265077,32861.8665746949,11194.0214677869,94496.5977401884
b_t,1951,33955.8890454466,31335.597582873,8266.93670806348,83523.6356588384
b_t,1952,33750.8761759666,31678.8491808061,8010.71022878091,85532.2103780708
b_t,1953,28683.5342388437,27763.972999365,7058.38632852025,75105.1049354374
b_t,1954,25033.3932506295,22468.8568073879,6148.23546127606,66096.9194968683
b_t,1955,21893.611709,20582.573746707,5202.43204357435,53867.4907376973
b_t,1956,22620.5390311033,21250.8103215817,5538.99397558828,57506.7660766969
b_t,1957,23326.0142215743,23360.0047324921,5430.20800713112,59923.5160897196
b_t,1958,24566.7615098043,24125.4336467275,5752.57210252939,61680.9587735038
b_t,1959,24360.8734899376,22338.17094961,5888.09116989086,61895.9767431964
b_t,1960,23315.4501681454,20773.5725645346,5501.95266850129,58653.3445128087
b_t,1961,20967.3556143002,19220.3065270954,5251.77774361616,54708.0627819513
b_t,1962,26227.826257225,22972.076930001,6411.99264392027,65093.0335289172
b_t,1963,28727.6174855225,26222.0316950227,6861.2123306559,72590.2492584603
b_t,1964,30304.6667216585,27641.6372840769,7019.43326886032,77145.6667525311
b_t,1965,33408.5953904198,30655.3629492514,7978.92830202899,83525.5012540707
b_t,1966,26168.2923107908,23850.3073204716,6322.79395960792,64080.6087133898
b_t,1967,26737.7159506373,25109.3794710404,6578.9187062657,68338.3295333086
b_t,1968,35836.0617218572,31707.3864971653,8879.45593385531,90922.4772404573
b_t,1969,94546.2329300385,82979.695460865,22854.3970557389,253391.558146436
b_t,1970,177346.548065526,162803.593763598,43163.5648959016,457714.944860362
b_t,1971,227442.163570089,200251.541015357,57429.1341703248,568939.021841028
b_t,1972,281380.701260797,245714.256688393,70104.3882188911,701388.485974501
b_t,1973,339409.961539519,294080.126195811,83099.8951323035,878551.255518865
b_t,1974,277305.945375014,249606.419176816,67107.9104546685,705749.538814183
b_t,1975,262630.710968344,234368.160238169,63646.4736154225,658380.980717372
b_t,1976,190991.326820467,174892.066475908,43941.6966799234,482827.383755826
b_t,1977,188526.264656744,174319.325737128,44808.4876499235,482456.775662633
b_t,1978,156969.804067137,142356.988979263,38264.8173541481,390095.079530326
b_t,1979,147891.997783554,138461.309566854,35605.3993419044,365806.801678128
