variable,year,mean,sd,lower,upper
b_t,1950,125929.844998817,63167.0921715336,58102.8172880478,229650.220938423
b_t,1951,80342.615753814,41356.3788858042,35404.4995675173,155589.287736242
b_t,1952,73379.780180221,39241.5206103939,31702.9149315223,140716.140225529
b_t,1953,65293.9489392735,36379.1365641915,27364.8273480877,128579.279231508
b_t,1954,66440.2759861642,35615.1506117195,28462.9278869884,129377.931006521
b_t,1955,67002.8439320661,35315.2366552749,28365.9736997264,128261.010262038
b_t,1956,73382.7923694726,39705.7299551184,30853.7597998921,142096.275325994
b_t,1957,77318.9528650322,43002.7122199011,32643.9724951546,147354.583986783
b_t,1958,82558.6619864464,45025.1169777752,35188.1922556821,154852.725746711
b_t,1959,85763.1520327329,45490.8818484086,37017.0905543642,165786.259914184
b_t,1960,89312.0728287103,46610.8900810759,37714.5230204971,172829.15044068
b_t,1961,83282.7679028693,45508.5461555279,35326.9102545529,161700.237826898
b_t,1962,104633.437269886,56063.5750757456,44799.4492159724,204502.593752694
b_t,1963,113330.577399858,61251.6030539226,48687.7755590644,222504.991240368
b_t,1964,115343.392515713,63684.357306672,49100.4218835709,218943.760349388
b_t,1965,117752.871045853,64874.4469020276,50380.8831755451,228098.980545321
b_t,1966,114685.963506416,61438.9458625464,49053.6581865281,222042.706123922
b_t,1967,114919.986641352,62081.970370952,49614.659679197,227921.122081178
b_t,1968,122921.401495673,66182.7586329661,52329.2985655283,240130.809376932
b_t,1969,160173.86441255,84889.0711147424,70755.2464817512,302315.964357785
b_t,1970,290561.322058604,157340.274183602,126724.092332894,558690.840102879
b_t,1971,411325.07282976,223777.02262389,176591.641469418,810183.738089795
b_t,1972,480088.612964895,258215.701318129,205327.201114363,920566.958293996
b_t,1973,553102.633662549,304995.003943424,232827.3021093,1087408.57382087
b_t,1974,505366.193513734,272731.360797931,212326.899130297,1003932.02395193
b_t,1975,512766.15513344,283525.963239002,213894.547118946,1016002.77246285
b_t,1976,475689.464663262,259131.012802268,199300.065782848,911838.631376878
b_t,1977,501239.364042905,271173.11979545,212865.876081108,963071.816292228
b_t,1978,494663.297890984,271487.819555473,211195.425574809,959247.451827419
b_t,1979,477475.290606369,266461.845174849,199151.52164717,918049.201902946
b_t,1980,457851.863231079,250267.190014681,195929.423625241,883988.067172382
b_t,1981,380821.867706435,209408.842159862,163734.940398545,732507.485278368
b_t,1982,328653.954484335,183043.247541511,138046.566698058,640633.345359362
b_t,1983,298329.048211793,163834.50759876,124603.83363331,575376.454140708
b_t,1984,277475.814935038,149168.58836391,116054.088848381,538831.364574324
b_t,1985,309658.401399193,166365.267534756,135799.048259355,596810.614821882
b_t,1986,251403.014636939,135514.702164922,106125.992556621,492168.592596575
b_t,1987,257813.057746098,134585.138736392,111551.718678431,490800.175455295
b_t,1988,278166.193022878,147245.222380968,118684.094947493,540985.652734943
b_t,1989,315166.07891465,161215.184138456,137806.755519254,598288.891552232
b_t,1990,334465.281651467,175497.082122234,144407.426867897,639717.176211379
b_t,1991,376251.413697509,196984.799556766,161117.345853372,738715.309142797
b_t,1992,343598.643362543,181906.457853186,149145.389066673,663142.725979523
b_t,1993,386163.990734136,217078.905537485,165615.646510392,754353.656693798
b_t,1994,388567.730837442,213960.603816811,166408.189003009,754831.090524965
b_t,1995,385543.521868915,206926.960239449,161223.489827195,753331.481186036
b_t,1996,346150.288398606,178308.884708031,151680.861286482,675946.355193201
b_t,1997,381891.778782354,205866.667017252,163466.157677426,733486.339193495
b_t,1998,368903.591698852,199947.178585347,155988.849909604,729149.277035767
b_t,1999,325034.712396796,176383.873010889,140044.956285535,637225.112535098
b_t,2000,362816.657913637,195520.556991769,154092.331265282,700367.740213606
b_t,2001,357861.031859661,188960.868332334,155927.884730383,690323.55922041
b_t,2002,364870.542510947,201333.999878566,153136.652277951,706150.672739703
b_t,2003,367130.14771755,194165.34964819,156561.759115137,698351.49543993
b_t,2004,383351.865709285,203089.419930669,160953.119307957,745867.992314892
b_t,2005,379378.466272667,208952.639961476,162386.019905247,755056.379821143
